NAME,median_income,median_home_value,population
"Abilene, TX Metro Area",61262,180400,180224
"Aguadilla, PR Metro Area",21290,136500,250435
"Akron, OH Metro Area",70125,216000,698398
"Albany, GA Metro Area",53056,164100,147062
"Albany, OR Metro Area",70548,398300,131496
"Albany-Schenectady-Troy, NY Metro Area",82410,284000,904682
"Albuquerque, NM Metro Area",67640,297100,923518
"Alexandria, LA Metro Area",52390,166700,148171
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",81159,309300,873555
"Altoona, PA Metro Area",54002,157000,120273
"Amarillo, TX Metro Area",63994,205000,273100
"Ames, IA Metro Area",72007,246200,125156
"Amherst Town-Northampton, MA Metro Area",79969,380800,162502
"Anchorage, AK Metro Area",94150,371600,401314
"Ann Arbor, MI Metro Area",83754,360400,365536
"Anniston-Oxford, AL Metro Area",50780,160900,116429
"Appleton, WI Metro Area",83966,274600,246433
"Arecibo, PR Metro Area",27118,112700,179470
"Asheville, NC Metro Area",67837,398500,417202
"Athens-Clarke County, GA Metro Area",67364,328000,219870
"Atlanta-Sandy Springs-Roswell, GA Metro Area",86505,383600,6305839
"Atlantic City-Hammonton, NJ Metro Area",80073,350000,369823
"Auburn-Opelika, AL Metro Area",57580,265600,202676
"Augusta-Richmond County, GA-SC Metro Area",67152,238300,628186
"Austin-Round Rock-San Marcos, TX Metro Area",98508,487200,2473275
"Bakersfield-Delano, CA Metro Area",68893,346600,913820
"Baltimore-Columbia-Towson, MD Metro Area",94289,385900,2834316
"Bangor, ME Metro Area",66333,228600,155312
"Barnstable Town, MA Metro Area",89893,634700,231735
"Baton Rouge, LA Metro Area",64550,239700,873661
"Battle Creek, MI Metro Area",57514,163500,133366
"Bay City, MI Metro Area",58675,156200,102500
"Beaumont-Port Arthur, TX Metro Area",62896,173800,395479
"Beckley, WV Metro Area",52437,119900,111428
"Bellingham, WA Metro Area",74884,611200,231919
"Bend, OR Metro Area",91658,622900,260919
"Billings, MT Metro Area",70849,363100,191435
"Binghamton, NY Metro Area",64035,157300,243792
"Birmingham, AL Metro Area",69284,247900,1184290
"Bismarck, ND Metro Area",83440,289400,135589
"Blacksburg-Christiansburg-Radford, VA Metro Area",61309,227100,180890
"Bloomington, IL Metro Area",77200,211000,170441
"Bloomington, IN Metro Area",58666,279600,160874
"Boise City, ID Metro Area",82526,471700,826521
"Boston-Cambridge-Newton, MA-NH Metro Area",110697,646600,4919179
"Boulder, CO Metro Area",95363,763600,326831
"Bowling Green, KY Metro Area",60620,241200,192191
"Bozeman, MT Metro Area",91158,691200,126409
"Bremerton-Silverdale-Port Orchard, WA Metro Area",99609,564600,277658
"Bridgeport-Stamford-Danbury, CT Metro Area",111058,574800,951558
"Brownsville-Harlingen, TX Metro Area",52210,154200,426710
"Brunswick-St. Simons, GA Metro Area",69235,281800,115087
"Buffalo-Cheektowaga, NY Metro Area",69861,233300,1155604
"Burlington, NC Metro Area",65633,265200,179165
"Burlington-South Burlington, VT Metro Area",95497,400000,227719
"Canton-Massillon, OH Metro Area",63774,189000,399474
"Cape Coral-Fort Myers, FL Metro Area",71547,391700,834573
"Cape Girardeau, MO-IL Metro Area",66427,215500,97947
"Carson City, NV Metro Area",73077,455100,58036
"Casper, WY Metro Area",73203,267300,79941
"Cedar Rapids, IA Metro Area",73569,222200,275668
"Chambersburg, PA Metro Area",75875,248900,157854
"Champaign-Urbana, IL Metro Area",62092,207400,237052
"Charleston, WV Metro Area",55415,135800,203259
"Charleston-North Charleston, SC Metro Area",85165,384800,849417
"Charlotte-Concord-Gastonia, NC-SC Metro Area",81262,381200,2805115
"Charlottesville, VA Metro Area",92265,431200,224932
"Chattanooga, TN-GA Metro Area",68677,289700,580353
"Cheyenne, WY Metro Area",75112,357300,100984
