metro_title,unemployment_rate_2023,NAME
"Anniston-Oxford, AL Metro Area",2.6,"Anniston-Oxford, AL Metro Area"
"Auburn-Opelika, AL Metro Area",2.3,"Auburn-Opelika, AL Metro Area"
"Birmingham, AL Metro Area",2.3,"Birmingham, AL Metro Area"
"Daphne-Fairhope-Foley, AL Metro Area",2.2,"Daphne-Fairhope-Foley, AL Metro Area"
"Decatur, AL Metro Area",2.1,"Decatur, AL Metro Area"
"Dothan, AL Metro Area",2.5,"Dothan, AL Metro Area"
"Florence-Muscle Shoals, AL Metro Area",2.6,"Florence-Muscle Shoals, AL Metro Area"
"Gadsden, AL Metro Area",2.5,"Gadsden, AL Metro Area"
"Huntsville, AL Metro Area",2.0,"Huntsville, AL Metro Area"
"Mobile, AL Metro Area",3.1,"Mobile, AL Metro Area"
"Montgomery, AL Metro Area",2.6,"Montgomery, AL Metro Area"
"Tuscaloosa, AL Metro Area",2.6,"Tuscaloosa, AL Metro Area"
"Anchorage, AK Metro Area",3.8,"Anchorage, AK Metro Area"
"Fairbanks-College, AK Metro Area",3.8,"Fairbanks-College, AK Metro Area"
"Flagstaff, AZ Metro Area",4.0,"Flagstaff, AZ Metro Area"
"Lake Havasu City-Kingman, AZ Metro Area",4.5,"Lake Havasu City-Kingman, AZ Metro Area"
"Phoenix-Mesa-Chandler, AZ Metro Area",3.2,"Phoenix-Mesa-Chandler, AZ Metro Area"
"Prescott Valley-Prescott, AZ Metro Area",3.6,"Prescott Valley-Prescott, AZ Metro Area"
"Sierra Vista-Douglas, AZ Metro Area",4.4,"Sierra Vista-Douglas, AZ Metro Area"
"Tucson, AZ Metro Area",3.6,"Tucson, AZ Metro Area"
"Yuma, AZ Metro Area",12.2,"Yuma, AZ Metro Area"
"Fayetteville-Springdale-Rogers, AR Metro Area",2.4,"Fayetteville-Springdale-Rogers, AR Metro Area"
"Fort Smith, AR-OK Metro Area",3.3,"Fort Smith, AR-OK Metro Area"
"Hot Springs, AR Metro Area",3.4,"Hot Springs, AR Metro Area"
"Jonesboro, AR Metro Area",2.8,"Jonesboro, AR Metro Area"
"Little Rock-North Little Rock-Conway, AR Metro Area",2.9,"Little Rock-North Little Rock-Conway, AR Metro Area"
"Bakersfield-Delano, CA Metro Area",8.2,"Bakersfield-Delano, CA Metro Area"
"Chico, CA Metro Area",5.2,"Chico, CA Metro Area"
"El Centro, CA Metro Area",17.6,"El Centro, CA Metro Area"
"Fresno, CA Metro Area",7.4,"Fresno, CA Metro Area"
"Hanford-Corcoran, CA Metro Area",8.5,"Hanford-Corcoran, CA Metro Area"
"Los Angeles-Long Beach-Anaheim, CA Metro Area",4.7,"Los Angeles-Long Beach-Anaheim, CA Metro Area"
"Merced, CA Metro Area",9.0,"Merced, CA Metro Area"
"Modesto, CA Metro Area",6.3,"Modesto, CA Metro Area"
"Napa, CA Metro Area",3.4,"Napa, CA Metro Area"
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",4.2,"Oxnard-Thousand Oaks-Ventura, CA Metro Area"
"Redding, CA Metro Area",4.8,"Redding, CA Metro Area"
"Riverside-San Bernardino-Ontario, CA Metro Area",4.7,"Riverside-San Bernardino-Ontario, CA Metro Area"
"Sacramento-Roseville-Folsom, CA Metro Area",4.2,"Sacramento-Roseville-Folsom, CA Metro Area"
"Salinas, CA Metro Area",7.0,"Salinas, CA Metro Area"
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3.7,"San Diego-Chula Vista-Carlsbad, CA Metro Area"
"San Francisco-Oakland-Fremont, CA Metro Area",3.6,"San Francisco-Oakland-Fremont, CA Metro Area"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",3.6,"San Jose-Sunnyvale-Santa Clara, CA Metro Area"
"San Luis Obispo-Paso Robles, CA Metro Area",3.6,"San Luis Obispo-Paso Robles, CA Metro Area"
"Santa Cruz-Watsonville, CA Metro Area",5.5,"Santa Cruz-Watsonville, CA Metro Area"
"Santa Maria-Santa Barbara, CA Metro Area",4.0,"Santa Maria-Santa Barbara, CA Metro Area"
"Santa Rosa-Petaluma, CA Metro Area",3.6,"Santa Rosa-Petaluma, CA Metro Area"
"Stockton-Lodi, CA Metro Area",6.0,"Stockton-Lodi, CA Metro Area"
"Vallejo, CA Metro Area",4.4,"Vallejo, CA Metro Area"
"Visalia, CA Metro Area",9.8,"Visalia, CA Metro Area"
"Yuba City, CA Metro Area",7.3,"Yuba City, CA Metro Area"
"Boulder, CO Metro Area",3.2,"Boulder, CO Metro Area"
"Colorado Springs, CO Metro Area",3.4,"Colorado Springs, CO Metro Area"
"Denver-Aurora-Centennial, CO Metro Area",3.2,"Denver-Aurora-Centennial, CO Metro Area"
"Fort Collins-Loveland, CO Metro Area",3.1,"Fort Collins-Loveland, CO Metro Area"
"Grand Junction, CO Metro Area",3.6,"Grand Junction, CO Metro Area"
"Greeley, CO Metro Area",3.5,"Greeley, CO Metro Area"
"Pueblo, CO Metro Area",4.7,"Pueblo, CO Metro Area"
"Bridgeport-Stamford-Danbury, CT Metro Area",3.1,"Bridgeport-Stamford-Danbury, CT Metro Area"
"Hartford-West Hartford-East Hartford, CT Metro Area",3.2,"Hartford-West Hartford-East Hartford, CT Metro Area"
"New Haven, CT Metro Area",3.2,"New Haven, CT Metro Area"
"Norwich-New London-Willimantic, CT Metro Area",3.2,"Norwich-New London-Willimantic, CT Metro Area"
"Waterbury-Shelton, CT Metro Area",3.7,"Waterbury-Shelton, CT Metro Area"
"Dover, DE Metro Area",4.1,"Dover, DE Metro Area"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2.5,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
"Cape Coral-Fort Myers, FL Metro Area",3.3,"Cape Coral-Fort Myers, FL Metro Area"
"Crestview-Fort Walton Beach-Destin, FL Metro Area",2.7,"Crestview-Fort Walton Beach-Destin, FL Metro Area"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",3.4,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
"Gainesville, FL Metro Area",3.3,"Gainesville, FL Metro Area"
"Homosassa Springs, FL Metro Area",4.4,"Homosassa Springs, FL Metro Area"
"Jacksonville, FL Metro Area",3.1,"Jacksonville, FL Metro Area"
"Lakeland-Winter Haven, FL Metro Area",3.7,"Lakeland-Winter Haven, FL Metro Area"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2.5,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
"Naples-Marco Island, FL Metro Area",3.0,"Naples-Marco Island, FL Metro Area"
"North Port-Bradenton-Sarasota, FL Metro Area",3.1,"North Port-Bradenton-Sarasota, FL Metro Area"
"Ocala, FL Metro Area",3.7,"Ocala, FL Metro Area"
"Orlando-Kissimmee-Sanford, FL Metro Area",2.9,"Orlando-Kissimmee-Sanford, FL Metro Area"
"Palm Bay-Melbourne-Titusville, FL Metro Area",3.1,"Palm Bay-Melbourne-Titusville, FL Metro Area"
"Panama City-Panama City Beach, FL Metro Area",3.0,"Panama City-Panama City Beach, FL Metro Area"
"Pensacola-Ferry Pass-Brent, FL Metro Area",3.1,"Pensacola-Ferry Pass-Brent, FL Metro Area"
"Port St. Lucie, FL Metro Area",3.4,"Port St. Lucie, FL Metro Area"
"Punta Gorda, FL Metro Area",3.7,"Punta Gorda, FL Metro Area"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",3.6,"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area"
"Sebring, FL Metro Area",4.3,"Sebring, FL Metro Area"
"Tallahassee, FL Metro Area",3.1,"Tallahassee, FL Metro Area"
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3.0,"Tampa-St. Petersburg-Clearwater, FL Metro Area"
"Wildwood-The Villages, FL Metro Area",5.2,"Wildwood-The Villages, FL Metro Area"
"Albany, GA Metro Area",3.9,"Albany, GA Metro Area"
"Athens-Clarke County, GA Metro Area",3.0,"Athens-Clarke County, GA Metro Area"
"Atlanta-Sandy Springs-Roswell, GA Metro Area",3.2,"Atlanta-Sandy Springs-Roswell, GA Metro Area"
"Augusta-Richmond County, GA-SC Metro Area",3.7,"Augusta-Richmond County, GA-SC Metro Area"
"Brunswick-St. Simons, GA Metro Area",2.9,"Brunswick-St. Simons, GA Metro Area"
"Columbus, GA-AL Metro Area",3.7,"Columbus, GA-AL Metro Area"
"Dalton, GA Metro Area",3.5,"Dalton, GA Metro Area"
"Gainesville, GA Metro Area",2.6,"Gainesville, GA Metro Area"
"Hinesville, GA Metro Area",3.8,"Hinesville, GA Metro Area"
"Macon-Bibb County, GA Metro Area",3.8,"Macon-Bibb County, GA Metro Area"
"Rome, GA Metro Area",3.2,"Rome, GA Metro Area"
"Savannah, GA Metro Area",2.9,"Savannah, GA Metro Area"
"Valdosta, GA Metro Area",3.6,"Valdosta, GA Metro Area"
"Warner Robins, GA Metro Area",3.0,"Warner Robins, GA Metro Area"
"Kahului-Wailuku, HI Metro Area",4.4,"Kahului-Wailuku, HI Metro Area"
"Urban Honolulu, HI Metro Area",2.6,"Urban Honolulu, HI Metro Area"
"Boise City, ID Metro Area",3.0,"Boise City, ID Metro Area"
"Coeur d'Alene, ID Metro Area",3.7,"Coeur d'Alene, ID Metro Area"
